restaurant_name,restaurant_id,city,categories,veg_category_count
pitta-house-2,R3ONP5QN,Zellik,No Vegetarian Categories,1
librairie-koekelberg,RN177PQN,Groot-Bijgaarden,No Vegetarian Categories,1
iskay,OP0511QN,Geraardsbergen,No Vegetarian Categories,1
papa-sucre-sale,30P1O77N,Ronse,No Vegetarian Categories,1
dominos-pizza-ronse,O1P3R5PN,Ronse,"Pizzas vegan,Vegan Pizza's",2
kursatto,OR71Q1N1,Ronse,No Vegetarian Categories,1
le-meilleur-de-la-frite,QOOPP7O,Ronse,No Vegetarian Categories,1
freros,R350QOQN,Ronse,No Vegetarian Categories,1
dominos-pizza-houthalen,R07O33QN,Houthalen,"Pizzas vegan,Vegan Pizza's",2
snack-felix-2,0005N311,Haren,No Vegetarian Categories,1
snack-papay,003P5Q11,Haren,No Vegetarian Categories,1
tamy,003ROP11,Haren,No Vegetarian Categories,1
omiros,005P755N,Zaventem,No Vegetarian Categories,1
buv-moi,00Q55O11,Haren,No Vegetarian Categories,1
le-pecheur,00QPPP5N,Haren,No Vegetarian Categories,1
le-porto-fino,00R7R131,Haren,No Vegetarian Categories,1
snack-tadim,010O10N1,Haren,No Vegetarian Categories,1
le-1050,011NRP11,Haren,No Vegetarian Categories,1
volle-gas-1,011P3R5N,Haren,No Vegetarian Categories,1
gusto-di,013P0R11,Haren,No Vegetarian Categories,1
shapla-masala,01513311,Zaventem,No Vegetarian Categories,1
el-bocadillos,01O730N1,Haren,No Vegetarian Categories,1
oliva-etterbeek,01PQNR5N,Haren,No Vegetarian Categories,1
snack-chez-zeki,01RNR55N,Haren,No Vegetarian Categories,1
empanadas,0331N0N1,Zaventem,No Vegetarian Categories,1
restaurant-grecque-nammos,03R1537N,Zaventem,No Vegetarian Categories,1
antipasti-sapori,051P5R5N,Zaventem,No Vegetarian Categories,1
afrosian-ixelles,053Q537N,Haren,No Vegetarian Categories,1
metropolis,0573RO11,Haren,No Vegetarian Categories,1
petit-palais,05N5QO7N,Zaventem,No Vegetarian Categories,1
snack-dylan,05PNPP11,Kraainem,No Vegetarian Categories,1
osyrie,05Q7755N,Haren,No Vegetarian Categories,1
snack-sibel-1,05R5R311,Haren,No Vegetarian Categories,1
les-4-gouts,05RP755N,Haren,No Vegetarian Categories,1
am-princesse,070Q7131,Haren,No Vegetarian Categories,1
il-covo,071O5R5N,Haren,No Vegetarian Categories,1
lequinoxe,071PQ131,Haren,No Vegetarian Categories,1
booboo-cakes,07713711,Haren,No Vegetarian Categories,1
godo-bistrot-pizzeria-bar,07N510N1,Haren,No Vegetarian Categories,1
snack-tout-pres,0N015Q11,Haren,No Vegetarian Categories,1
le-laakam,0N53Q37N,Haren,No Vegetarian Categories,1
tasty-pizza-1030,0NN33311,Zaventem,No Vegetarian Categories,1
hawaiian-poke-bowl-bruxelles-1,0NQ37R5N,Haren,No Vegetarian Categories,1
bad-by-la-parisienne,0O0R375N,Haren,No Vegetarian Categories,1
sandwiched,0O5P7311,Haren,No Vegetarian Categories,1
snack-dag,0O7N7Q11,Haren,No Vegetarian Categories,1
snack-memo-chez-feyyaz,0ON1Q37N,Zaventem,No Vegetarian Categories,1
snack-tarik,0ONROR11,Haren,No Vegetarian Categories,1
ebenezer,0OO33O7N,Haren,No Vegetarian Categories,1
tekince-kebap-pizza,0OOO5R5N,Zaventem,No Vegetarian Categories,1
la-bella-puglia,0OQPR55N,Haren,No Vegetarian Categories,1
wazawok-city-2,0OR71O11,Haren,No Vegetarian Categories,1
poke-bar,0P505311,Haren,No Vegetarian Categories,1
yorker,0P551P5N,Haren,No Vegetarian Categories,1
il-buongustaio-bruxelles,0P57O131,Haren,No Vegetarian Categories,1
